feature_name,min,max,mean,std,unique_values,coefficient_of_variation,near_constant
duration_bin_4_plus,0.0,0.0,0.0,0.0,1,0.0,True
harmony__common_name_augmented_fifth,0.0375,0.0375,0.0375,0.0,1,0.0,True
harmony__common_name_diminished_minor_ninth_chord,0.0384615384615384,0.0384615384615384,0.0384615384615384,0.0,1,0.0,True
harmony__common_name_incomplete_major_seventh_chord,0.0517241379310344,0.0517241379310344,0.0517241379310344,0.0,1,0.0,True
harmony__common_name_incomplete_minor_seventh_chord,0.0517241379310344,0.0517241379310344,0.0517241379310344,0.0,1,0.0,True
harmony__common_name_major_sixth,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0,1,0.0,True
harmony__common_name_major_sixth_with_octave_doublings,0.05,0.05,0.05,0.0,1,0.0,True
harmony__common_name_major_third,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0,1,0.0,True
harmony__common_name_major_thirteenth,0.0472972972972973,0.0472972972972973,0.0472972972972973,0.0,1,0.0,True
harmony__common_name_minor_fourteenth,0.0472972972972973,0.0472972972972973,0.0472972972972973,0.0,1,0.0,True
harmony__common_name_minor_sixth_with_octave_doublings,0.0375,0.0375,0.0375,0.0,1,0.0,True
harmony__common_name_minor_third_with_octave_doublings,0.0294117647058823,0.0294117647058823,0.0294117647058823,0.0,1,0.0,True
harmony__common_name_minor_thirteenth,0.1081081081081081,0.1081081081081081,0.1081081081081081,0.0,1,0.0,True
harmony__common_name_perfect_double_octave,0.0608108108108108,0.0608108108108108,0.0608108108108108,0.0,1,0.0,True
harmony__common_name_perfect_fifth_with_octave_doublings,0.05,0.05,0.05,0.0,1,0.0,True
harmony__common_name_perfect_fourth,0.0689655172413793,0.0689655172413793,0.0689655172413793,0.0,1,0.0,True
harmony__common_name_perfect_twelfth,0.0405405405405405,0.0405405405405405,0.0405405405405405,0.0,1,0.0,True
measure_start,1.0,1.0,1.0,0.0,1,0.0,True
metadata__has_metadata,1.0,1.0,1.0,0.0,1,0.0,True
metadata__part_count,2.0,2.0,2.0,0.0,1,0.0,True
rhythm__duration_bin_4_plus,0.0,0.0,0.0,0.0,1,0.0,True
rhythm__ioi_bin_duration_bin_0_5_1,0.0,0.0,0.0,0.0,1,0.0,True
rhythm__ioi_bin_duration_bin_1_2,0.0,0.0,0.0,0.0,1,0.0,True
rhythm__ioi_bin_duration_bin_2_4,0.0,0.0,0.0,0.0,1,0.0,True
rhythm__ioi_bin_duration_bin_4_plus,0.0,0.0,0.0,0.0,1,0.0,True
texture__vertical_interval_0,0.0,0.0,0.0,0.0,1,0.0,True
rhythm__beat_position_4,0.1616161616161616,0.1913043478260869,0.17859687146942374,0.01085336826445475,4,0.0607702037284168,False
mean_pitch,57.39220779220779,68.49180327868852,62.157084096136785,3.834052976849841,8,0.061683282486672125,False
pitch__mean_midi,57.39220779220779,68.49180327868852,62.157084096136785,3.834052976849841,8,0.061683282486672125,False
pitch__pitch_class_entropy,1.866757962962812,2.2562284545212927,2.042755504514308,0.1420876291886251,8,0.06955684558167831,False
texture__vertical_interval_10,0.0470588235294117,0.0586419753086419,0.051056184927238485,0.00359716024481798,8,0.07045493606591224,False
harmony__common_name_half_diminished_seventh_chord,0.1217391304347826,0.1403508771929824,0.1310450038138825,0.009305873379099897,2,0.0710128055878927,False
harmony__common_name_diminished_seventh_chord,0.0869565217391304,0.1052631578947368,0.0961098398169336,0.009153318077803195,2,0.09523809523809518,False
harmony__common_name_minor_seventh_chord,0.0869565217391304,0.1052631578947368,0.0961098398169336,0.009153318077803195,2,0.09523809523809518,False
harmony__common_name_major_tenth,0.0405405405405405,0.0517241379310344,0.04742155949052498,0.004916264113046402,3,0.1036714980667958,False
rhythm__short_note_ratio,0.7171717171717171,1.0,0.8562640190131987,0.09384583758785311,7,0.10959918378446606,False
harmony__common_name_perfect_fifth,0.1,0.125,0.1125,0.012499999999999997,2,0.11111111111111108,False
harmony__common_name_major_seventh_chord,0.0347826086956521,0.0441176470588235,0.0379959916842404,0.0043304558277257104,3,0.11397138581651638,False
texture__simultaneity_ratio,0.6666666666666666,1.0,0.9080929487179488,0.11460694910842661,5,0.1262061876707989,False
pitch__pitch_class_0,0.1376623376623376,0.2049180327868852,0.1572008294904123,0.02046124915334521,8,0.1301599312145687,False
pitch_class_0,0.1376623376623376,0.2049180327868852,0.1572008294904123,0.02046124915334521,8,0.1301599312145687,False
harmony__common_name_major_seventh,0.0375,0.05,0.04375,0.006250000000000002,2,0.1428571428571429,False
harmony__common_name_messiaen_s_truncated_mode_6,0.0521739130434782,0.0701754385964912,0.0611746758199847,0.009000762776506497,2,0.14713216957606018,False
texture__vertical_interval_3,0.05870236869207,0.1018518518518518,0.08131820674496569,0.012192895105971215,8,0.14994053108194078,False
rhythm__beat_position_3,0.1132075471698113,0.1913043478260869,0.1542211299920784,0.028010636734244643,6,0.1816264524561804,False
metadata__composer_length,16.0,24.0,20.0,4.0,2,0.2,False
texture__vertical_interval_4,0.0432543769309989,0.0901639344262295,0.07138571894155613,0.014339153359470062,8,0.20086865513268282,False
texture__vertical_interval_7,0.0584192439862542,0.1181102362204724,0.07725652412547176,0.017448150582071578,8,0.22584695311601338,False
texture__vertical_interval_2,0.0711071107110711,0.1443298969072164,0.10472858582241627,0.0239330905809831,8,0.22852490934581512,False
pitch__pitch_class_4,0.1029411764705882,0.2488038277511961,0.17447577648966991,0.04037630384482525,8,0.2314149543115275,False
pitch_class_4,0.1029411764705882,0.2488038277511961,0.17447577648966991,0.04037630384482525,8,0.2314149543115275,False
ambitus_semitones,22.0,48.0,36.25,8.422440263961509,8,0.2323431796954899,False
pitch__ambitus_semitones,22.0,48.0,36.25,8.422440263961509,8,0.2323431796954899,False
pitch__range_semitones,22.0,48.0,36.25,8.422440263961509,8,0.2323431796954899,False
pitch_range_semitones,22.0,48.0,36.25,8.422440263961509,8,0.2323431796954899,False
texture__vertical_interval_9,0.0378006872852233,0.0708661417322834,0.05221561067068496,0.01219944008978731,8,0.23363587887015472,False
texture__vertical_interval_8,0.0314960629921259,0.0617283950617283,0.0464421894916158,0.011005804862094334,8,0.23697859602595203,False
harmony__common_name_quartal_tetramirror,0.0448717948717948,0.088235294117647,0.07255976233126585,0.01750212501342851,4,0.2412097897113271,False
texture__register_span_max,21.0,43.0,29.625,7.227335262736882,8,0.24396068397424076,False
pitch__pitch_class_11,0.0677083333333333,0.1544117647058823,0.10848161328929926,0.02745730473181368,8,0.25310560840011126,False
pitch_class_11,0.0677083333333333,0.1544117647058823,0.10848161328929926,0.02745730473181368,8,0.25310560840011126,False
texture__vertical_interval_11,0.0171821305841924,0.0425339366515837,0.0334547315305148,0.008974898450209434,8,0.2682699289343641,False
harmony__common_name_major_triad,0.0441176470588235,0.0862068965517241,0.05632131897851976,0.015148529442692828,4,0.26896616978146914,False
texture__vertical_interval_5,0.0666066606660666,0.1496062992125984,0.09234470244404025,0.02546014962279981,8,0.2757077444505097,False
rhythm__beat_position_2,0.1478260869565217,0.3018867924528302,0.2006703672559788,0.05628156785179558,7,0.2804677572548705,False
pitch__pitch_class_2,0.0883116883116883,0.2058823529411764,0.12430949559108237,0.035580848902089554,8,0.28622792436656,False
