feature_name,family,composer_label_correlation,same_composer_correlation,clap_similarity_correlation,symbolic_core_similarity_correlation,clap_minus_core_similarity_correlation,pairwise_similarity_mean,pairwise_similarity_std,pairwise_sample_count
experimental__chromaticism__out_of_key_pitch_ratio,experimental_chromaticism,,,0.1941882391833344,0.16797288660883744,0.007401822739348353,0.9540281987606443,0.0367038659639457,9453
experimental__chromaticism__pitch_class_entropy,experimental_chromaticism,,,0.1839144857046959,0.4333664197238302,-0.21366586884097916,0.8870826945253248,0.07694073200832785,9453
experimental__chromaticism__non_diatonic_pitch_class_count,experimental_chromaticism,,,0.0746154221646799,0.515780388644465,-0.3602057867755378,0.6298053527980536,0.3257860370191519,9453
experimental__chromaticism__accidental_density,experimental_chromaticism,,,0.06795413114986591,0.04342069176581173,0.014948013936294602,0.8756414205982603,0.08635515497356994,9453
experimental__chromaticism__chromatic_step_ratio,experimental_chromaticism,,,-0.0064660130321940075,-0.011036396961393007,0.004133014964314295,0.9530873212911729,0.033536291994616114,9453
experimental__chromaticism__melodic_semitone_motion_ratio,experimental_chromaticism,,,-0.0064660130321940075,-0.011036396961393007,0.004133014964314295,0.9530873212911729,0.033536291994616114,9453
experimental__harmony_heavy__non_diatonic_root_ratio,experimental_harmony_heavy,,,0.214570509914588,0.13325949672418216,0.0502928764976925,0.9525894300965403,0.039197402132597974,9453
experimental__harmony_heavy__chromatic_chord_ratio,experimental_harmony_heavy,,,0.17839827158883304,0.09071794459751666,0.05796750953086888,0.9214175074248674,0.05602794067845655,9453
experimental__harmony_heavy__seventh_chord_ratio,experimental_harmony_heavy,,,0.16238100474564932,0.09337569138948605,0.044071469125584135,0.9077674838790413,0.08617132915159012,9453
experimental__harmony_heavy__diminished_chord_ratio,experimental_harmony_heavy,,,0.12080127881886024,0.25138708163216056,-0.11358102770421533,0.9703176889963715,0.02252231559444398,9453
experimental__harmony_heavy__local_key_count,experimental_harmony_heavy,,,0.10535376304734642,0.2149357106744282,-0.09559304454822008,0.333737646804927,0.248264553197572,9453
experimental__harmony_heavy__modulation_count,experimental_harmony_heavy,,,0.08270220952425136,0.2123120436734452,-0.11010984620278277,0.14210982473464945,0.19035159399781904,9453
experimental__harmony_heavy__predominant_ratio,experimental_harmony_heavy,,,0.0777233660949674,0.157064706070876,-0.06931461978375957,0.9390081110271742,0.04345945948318632,9453
experimental__harmony_heavy__mean_harmonic_rhythm,experimental_harmony_heavy,,,0.06402146480660945,0.2294930977875064,-0.13764598279491164,0.9039311450463161,0.07357116386559852,9453
experimental__harmony_heavy__tonic_ratio,experimental_harmony_heavy,,,0.05786972938907431,0.00992274942602198,0.03449664826827935,0.930400008400398,0.05153028564608884,9453
experimental__harmony_heavy__rn_event_count,experimental_harmony_heavy,,,0.01796370587917379,0.11435900798966443,-0.07882261865886789,0.016377998895072306,0.06247886686432101,9453
experimental__harmony_heavy__deceptive_motion_count,experimental_harmony_heavy,,,-0.01982352394276514,0.055599268007182234,-0.059284923601818175,0.35324031087700886,0.26347441626629237,9453
experimental__harmony_heavy__harmonic_rhythm_variance,experimental_harmony_heavy,,,-0.022188777673252977,0.1798928789024331,-0.1610233415331348,0.9897591217115556,0.020033057603912847,9453
experimental__harmony_heavy__dominant_ratio,experimental_harmony_heavy,,,-0.02438273028590273,0.12360154874055093,-0.11734386573343632,0.9462791018621055,0.04006775903178989,9453
experimental__harmony_heavy__cadence_like_V_I_count,experimental_harmony_heavy,,,-0.04502342021710633,0.02286288841926698,-0.051444768815692404,0.33915232443322696,0.2805072506286335,9453
experimental__harmony_heavy__modal_mixture_ratio,experimental_harmony_heavy,,,-0.053312006930870647,-0.05140894213672914,0.0022273140055852716,0.9476278481970469,0.03709188633139851,9453
experimental__harmony_heavy__applied_dominant_ratio,experimental_harmony_heavy,,,,,,1.0,0.0,9453
experimental__harmony_heavy__rn_backend_available,experimental_harmony_heavy,,,,,,1.0,0.0,9453
experimental__harmony_heavy__secondary_function_ratio,experimental_harmony_heavy,,,,,,1.0,0.0,9453
experimental__harmony_light__vertical_chromaticity_ratio,experimental_harmony_light,,,0.21200037600184407,0.14723958201143933,0.03715835774270765,0.9099473407880224,0.06821913369061207,9453
experimental__harmony_light__dissonant_verticality_ratio,experimental_harmony_light,,,0.16445362786054138,0.36676170115285206,-0.1743636403036874,0.9116237138497181,0.06161103185407264,9453
experimental__harmony_light__chord_common_name_entropy,experimental_harmony_light,,,0.14585837839959453,0.5346323472564496,-0.3230764429605523,0.7306897208782873,0.16396353923512008,9453
experimental__harmony_light__seventh_chord_ratio,experimental_harmony_light,,,0.09768583289720977,-0.010521714704607027,0.0801731316213261,0.9740506424214593,0.03136231585221159,9453
experimental__harmony_light__harmonic_rhythm_mean,experimental_harmony_light,,,0.06402146480660945,0.2294930977875064,-0.13764598279491164,0.9039311450463161,0.07357116386559852,9453
experimental__harmony_light__triad_ratio,experimental_harmony_light,,,0.05437501659378644,0.1420249469802888,-0.07435337382369452,0.9107867378897505,0.06456267310431656,9453
experimental__harmony_light__chordified_event_count,experimental_harmony_light,,,0.01796370587917379,0.11435900798966443,-0.07882261865886789,0.016377998895072306,0.06247886686432101,9453
experimental__harmony_light__harmonic_rhythm_variance,experimental_harmony_light,,,-0.022188777673252977,0.1798928789024331,-0.1610233415331348,0.9897591217115556,0.020033057603912847,9453
experimental__rhythm_phrase__short_note_ratio,experimental_rhythm_phrase,,,0.175975468269031,0.323408795839845,-0.13102567386496447,0.857956112805824,0.11462736609295673,9453
experimental__rhythm_phrase__long_note_ratio,experimental_rhythm_phrase,,,0.16832655597026056,0.35522097867310415,-0.16223540965930439,0.8600015490848281,0.11248917925719028,9453
experimental__rhythm_phrase__end_of_measure_long_note_ratio,experimental_rhythm_phrase,,,0.16309743777268884,0.361742311005744,-0.17132075105185487,0.8606070483043845,0.133134190168978,9453
experimental__rhythm_phrase__rest_punctuation_ratio,experimental_rhythm_phrase,,,0.08403405168999861,0.3669590815524156,-0.23355563138876445,0.7975380770471705,0.13378333840582426,9453
experimental__rhythm_phrase__measure_density_regularity,experimental_rhythm_phrase,,,0.061874282586130216,-0.04274067943347468,0.079807350558383,0.9561396087754594,0.03146628758764152,9453
experimental__rhythm_phrase__four_bar_density_periodicity_score,experimental_rhythm_phrase,,,0.02397581860125633,0.040726315587382204,-0.01516712229924838,0.9427848003517765,0.04103383193739692,9453
experimental__rhythm_phrase__ioi_entropy,experimental_rhythm_phrase,,,0.015201005149343116,0.02353190093238989,-0.0077743970994056735,0.6678299558669234,0.1807456432510654,9453
experimental__rhythm_phrase__measure_density_variance,experimental_rhythm_phrase,,,-0.0019417931623398935,0.12247884749407704,-0.09996747705125156,0.14134205958221255,0.16502925250216352,9453
experimental__rhythm_phrase__duration_entropy,experimental_rhythm_phrase,,,-0.04149592973947876,-0.04578254165827118,0.00637428176785166,0.7839170005848127,0.13036884126711257,9453
experimental__rhythm_phrase__repeated_rhythm_pattern_ratio,experimental_rhythm_phrase,,,-0.050083847163601106,0.023121805584217125,-0.055367765913372224,0.8403371767521275,0.10296343851448804,9453
experimental__syntax_interaction__cadence_spacing_variance,experimental_syntax_interaction,,,0.12817103943173544,-0.052356304398806286,0.1362098568643518,0.884751405776967,0.1339253498641925,9453
experimental__syntax_interaction__cadence_spacing_mean,experimental_syntax_interaction,,,0.122870102751895,0.006908754605582088,0.08463609085680182,0.7833165673794354,0.1599377940908562,9453
experimental__syntax_interaction__dominant_arrival_density,experimental_syntax_interaction,,,-0.01696458808784104,0.011257180655289335,-0.021510230802585236,0.9720913415349285,0.022046532538320857,9453
experimental__syntax_interaction__accented_non_chord_tone_ratio,experimental_syntax_interaction,,,-0.04387273175283409,-0.045889517536087644,0.004715623844496345,0.9999139538422857,0.0003686307202655524,9453
experimental__syntax_interaction__non_chord_tone_ratio,experimental_syntax_interaction,,,-0.04387273175283409,-0.045889517536087644,0.004715623844496345,0.9999139538422857,0.0003686307202655524,9453
experimental__syntax_interaction__dissonance_on_strong_beat_ratio,experimental_syntax_interaction,,,-0.05015659952602293,-0.043198119413102254,-0.002062544865416682,0.9716492118904052,0.11563575082284143,9453
experimental__syntax_interaction__unresolved_dissonance_ratio,experimental_syntax_interaction,,,-0.05015659952602293,-0.043198119413102254,-0.002062544865416682,0.9716492118904052,0.11563575082284143,9453
experimental__syntax_interaction__mean_resolution_delay,experimental_syntax_interaction,,,,,,1.0,0.0,9453
experimental__syntax_interaction__resolved_stepwise_ratio,experimental_syntax_interaction,,,,,,1.0,0.0,9453
experimental__texture__arpeggiation_proxy,experimental_texture,,,0.2852985763586517,0.6216549208686802,-0.29073352421017906,0.9508763470931189,0.04682659813085119,9453
experimental__texture__accompaniment_continuity_proxy,experimental_texture,,,0.21877343484039694,0.4449905343222655,-0.19742948325841736,0.8065941104616675,0.14247816045062422,9453
experimental__texture__single_note_event_ratio,experimental_texture,,,0.20067815599328034,0.11455824352168965,0.055141343097673885,0.9141518934333089,0.07544090957722871,9453
experimental__texture__left_right_register_gap_mean,experimental_texture,,,0.14339334129789855,0.16669422423747327,-0.02885616174460753,0.3051378366328432,0.21173590288145352,9453
experimental__texture__bass_motion_rate,experimental_texture,,,0.049308189432156826,0.07210397229306724,-0.021816852611675257,0.6202404349132729,0.212912759563577,9453
experimental__texture__register_span_max,experimental_texture,,,0.03175372190082278,0.11616642928676081,-0.07015403846762279,0.2420788186425589,0.24317738355483753,9453
experimental__texture__max_notes_per_onset,experimental_texture,,,0.004357928715308628,0.16708237475562715,-0.13122946607799477,0.05752525115238464,0.11717029442680879,9453
experimental__texture__onset_density_per_quarter,experimental_texture,,,0.0010163405457603312,0.22933653500955425,-0.18376986651329447,0.9148813604256958,0.06630971440134488,9453
experimental__texture__register_span_mean,experimental_texture,,,-0.005378608803569552,0.056197988267845604,-0.04916312759876592,0.19718755064041577,0.18312024843151498,9453
experimental__texture__mean_notes_per_onset,experimental_texture,,,-0.010046767451052045,0.11994331553979466,-0.10387705616525314,0.10613716651920663,0.1440813550318938,9453
experimental__texture__simultaneity_ratio,experimental_texture,,,-0.06103521782359053,0.11890179660655091,-0.14046791781076673,0.9117828910465584,0.08272293108761843,9453
